entity,fact,text
resazurin,"Resazurin is used as a fluorogenic indicator in the coupled enzymatic assay for formate determination, with its fluorescence intensity decreasing upon reaction with formate dehydrogenase.","Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is used as a fluorogenic indicator in the coupled enzymatic assay for formate determination, with its fluorescence intensity decreasing upon reaction with formate dehydrogenase."
formate,"Formate can be quantitatively determined in a coupled enzymatic assay using formate dehydrogenase, resazurin, and diaphorase, with optimal conditions involving 1 mM formate and 0.006 units of formate dehydrogenase per ml reaction mixture.","Entity: formate. SMILES: O=C[O-]. Formate can be quantitatively determined in a coupled enzymatic assay using formate dehydrogenase, resazurin, and diaphorase, with optimal conditions involving 1 mM formate and 0.006 units of formate dehydrogenase per ml reaction mixture."
NAD,"NAD is used as a cofactor in the enzymatic assay for formate determination, with optimal conditions involving 1.0 mM NAD.","Entity: NAD. SMILES: NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1. NAD is used as a cofactor in the enzymatic assay for formate determination, with optimal conditions involving 1.0 mM NAD."
formic acid,"Formic acid is involved in the toxicity of methanol in humans and lower animals, but its role is not fully understood due to the lack of a sensitive and specific assay for its measurement in vivo.","Entity: formic acid. SMILES: O=CO. Formic acid is involved in the toxicity of methanol in humans and lower animals, but its role is not fully understood due to the lack of a sensitive and specific assay for its measurement in vivo."
methanol,"Methanol toxicity in humans and lower animals is associated with the oxidation of methanol, a process that involves formic acid as a metabolite.","Entity: methanol. SMILES: CO. Methanol toxicity in humans and lower animals is associated with the oxidation of methanol, a process that involves formic acid as a metabolite."
formaldehyde,"The disposition of formaldehyde in animals has been studied, contributing to our understanding of its metabolic pathways.","Entity: formaldehyde. SMILES: C=O. The disposition of formaldehyde in animals has been studied, contributing to our understanding of its metabolic pathways."
formate,"Increased blood levels of formate are associated with metabolic acidosis in pigtail monkeys, as indicated by a decrease in arterial pH and pCO2.","Entity: formate. SMILES: O=C[O-]. Increased blood levels of formate are associated with metabolic acidosis in pigtail monkeys, as indicated by a decrease in arterial pH and pCO2."
sodium oxalate,Sodium oxalate is used as a component (5 mM concentration) in nutrient agar slopes to support the maintenance and growth of P. oxalaticus cultures.,Entity: sodium oxalate. SMILES: O=C([O-])C(=O)[O-].[Na+].[Na+]. Sodium oxalate is used as a component (5 mM concentration) in nutrient agar slopes to support the maintenance and growth of P. oxalaticus cultures.
resazurin,"Resazurin is used as a chromogenic substrate in diaphorase and coupled enzyme assays, with optimal concentrations for the diaphorase reaction being 20 mM.","Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is used as a chromogenic substrate in diaphorase and coupled enzyme assays, with optimal concentrations for the diaphorase reaction being 20 mM."
formate,"Formate is a substrate for diaphorase, with the K, for formate measured by the coupled fluorometric assay being about 0.15 mM, which closely approximates the value at pH 7.4 using the spectrophotometric method.","Entity: formate. SMILES: O=C[O-]. Formate is a substrate for diaphorase, with the K, for formate measured by the coupled fluorometric assay being about 0.15 mM, which closely approximates the value at pH 7.4 using the spectrophotometric method."
phosphate,Phosphate buffer at 100 mM is used as the incubation medium for both diaphorase and coupled enzyme assays.,Entity: phosphate. SMILES: O=P([O-])([O-])[O-]. Phosphate buffer at 100 mM is used as the incubation medium for both diaphorase and coupled enzyme assays.
sodium hydroxide,"Sodium hydroxide, in combination with zinc sulfate, is more effective than perchloric acid for protein precipitation from blood.","Entity: sodium hydroxide. SMILES: [Na+].[OH-]. Sodium hydroxide, in combination with zinc sulfate, is more effective than perchloric acid for protein precipitation from blood."
zinc sulfate,"Zinc sulfate, when combined with sodium hydroxide, is more effective than perchloric acid for protein precipitation from blood and removes inhibitory substances and interfering pigments retained after perchloric acid treatment.","Entity: zinc sulfate. SMILES: O=S(=O)([O-])[O-].[Zn+2]. Zinc sulfate, when combined with sodium hydroxide, is more effective than perchloric acid for protein precipitation from blood and removes inhibitory substances and interfering pigments retained after perchloric acid treatment."
perchloric acid,Perchloric acid is unsatisfactory as a protein precipitant.,Entity: perchloric acid. SMILES: [O-][Cl+3]([O-])([O-])O. Perchloric acid is unsatisfactory as a protein precipitant.
sodium hydroxide,Sodium hydroxide is used in a protein precipitation method with zinc sulfate for the recovery of formate from blood samples.,Entity: sodium hydroxide. SMILES: [Na+].[OH-]. Sodium hydroxide is used in a protein precipitation method with zinc sulfate for the recovery of formate from blood samples.
zinc sulfate,Zinc sulfate is used in a protein precipitation method with sodium hydroxide for the recovery of formate from blood samples.,Entity: zinc sulfate. SMILES: O=S(=O)([O-])[O-].[Zn+2]. Zinc sulfate is used in a protein precipitation method with sodium hydroxide for the recovery of formate from blood samples.
formate,"Formate can be quantitatively determined in blood samples using a protein precipitation method with zinc sulfate and sodium hydroxide, achieving an average recovery of about 95%.","Entity: formate. SMILES: O=C[O-].[Na+]. Formate can be quantitatively determined in blood samples using a protein precipitation method with zinc sulfate and sodium hydroxide, achieving an average recovery of about 95%."
formate,The limit of sensitivity for formate determination in this method is about 0.5 pg/ml of reaction mixture.,Entity: formate. SMILES: O=C[O-].[Na+]. The limit of sensitivity for formate determination in this method is about 0.5 pg/ml of reaction mixture.
trichloroacetic acid,Trichloroacetic acid is inhibitory to the coupled reaction for formate determination and acts competitively with formate.,Entity: trichloroacetic acid. SMILES: O=C(O)C(Cl)(Cl)Cl. Trichloroacetic acid is inhibitory to the coupled reaction for formate determination and acts competitively with formate.
methanol,Methanol poisoning in monkeys can be monitored by measuring blood formic acid levels using a formate dehydrogenase-based enzymatic assay.,Entity: methanol. SMILES: CO. Methanol poisoning in monkeys can be monitored by measuring blood formic acid levels using a formate dehydrogenase-based enzymatic assay.
resazurin,"Resazurin is a nonfluorescent substance that is reduced by diaphorase in a coupled reaction to form resorufin, a fluorescent dye.","Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is a nonfluorescent substance that is reduced by diaphorase in a coupled reaction to form resorufin, a fluorescent dye."
resorufin,Resorufin is a fluorescent dye produced from the reduction of resazurin by diaphorase in a coupled enzymatic assay.,Entity: resorufin. SMILES: O=c1ccc2nc3ccc(O)cc3oc-2c1. Resorufin is a fluorescent dye produced from the reduction of resazurin by diaphorase in a coupled enzymatic assay.
formic acid,"Formic acid can be specifically and sensitively determined using a coupled reaction of formate dehydrogenase with diaphorase-catalyzed resazurin reduction, with the assay adaptable for measurement in body fluids.","Entity: formic acid. SMILES: O=CO. Formic acid can be specifically and sensitively determined using a coupled reaction of formate dehydrogenase with diaphorase-catalyzed resazurin reduction, with the assay adaptable for measurement in body fluids."
dithiothreitol,"Dithiothreitol at 0.1 mM helps stabilize crude enzyme preparations, maintaining about 100% enzymatic activity at -80°C for at least 6 months.","Entity: dithiothreitol. SMILES: O[C@H](CS)[C@H](O)CS. Dithiothreitol at 0.1 mM helps stabilize crude enzyme preparations, maintaining about 100% enzymatic activity at -80°C for at least 6 months."
disodium EDTA,"Disodium EDTA at 1.0 mM helps stabilize crude enzyme preparations, maintaining about 100% enzymatic activity at -80°C for at least 6 months.","Entity: disodium EDTA. SMILES: O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Na+]. Disodium EDTA at 1.0 mM helps stabilize crude enzyme preparations, maintaining about 100% enzymatic activity at -80°C for at least 6 months."
resazurin,"Resazurin is a substrate that is reduced by the enzyme in a diaphorase-catalyzed reaction to form resorufin, which can be measured spectrophotometrically.","Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is a substrate that is reduced by the enzyme in a diaphorase-catalyzed reaction to form resorufin, which can be measured spectrophotometrically."
resorufin,Resorufin is the product of resazurin reduction by the enzyme in a diaphorase-catalyzed reaction and can be measured spectrophotometrically.,Entity: resorufin. SMILES: O=c1ccc2nc3ccc(O)cc3oc-2c1. Resorufin is the product of resazurin reduction by the enzyme in a diaphorase-catalyzed reaction and can be measured spectrophotometrically.
formate,"Formate can be quantitatively measured in body fluids using a coupled enzymatic assay with crude P. oxalaticus enzyme extract, providing about ten times increased sensitivity compared to spectrophotometric methods and requiring less enzyme.","Entity: formate. SMILES: O=C[O-]. Formate can be quantitatively measured in body fluids using a coupled enzymatic assay with crude P. oxalaticus enzyme extract, providing about ten times increased sensitivity compared to spectrophotometric methods and requiring less enzyme."
formate,"Formate can be measured using a coupled fluorometric method in the presence of formate dehydrogenase (FDH), providing a sensitive and fast assay without extensive enzyme purification or tissue preparation.","Entity: formate. SMILES: O=C[O-]. Formate can be measured using a coupled fluorometric method in the presence of formate dehydrogenase (FDH), providing a sensitive and fast assay without extensive enzyme purification or tissue preparation."
oxalate,Oxalate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: oxalate. SMILES: O=C([O-])C(=O)[O-]. Oxalate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
acetate,Acetate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: acetate. SMILES: CC(=O)[O-]. Acetate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
methanol,Methanol does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: methanol. SMILES: CO. Methanol does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
malate,Malate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: malate. SMILES: O=C([O-])CC(O)C(=O)[O-]. Malate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
formaldehyde,Formaldehyde does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: formaldehyde. SMILES: C=O. Formaldehyde does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
ethanol,Ethanol does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: ethanol. SMILES: CCO. Ethanol does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
pyruvate,Pyruvate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Pyruvate does not react with or inhibit the activity of formate dehydrogenase (FDH) in crude preparations.
formate,Formate can be measured in blood with a sensitivity that allows detection at concentrations as low as 1.0 mg%.,Entity: formate. SMILES: O=CO. Formate can be measured in blood with a sensitivity that allows detection at concentrations as low as 1.0 mg%.
formate,"Formate can serve as a product of the metabolism of certain drugs or chemicals, including demethylated compounds and certain one-carbon halogenated compounds.","Entity: formate. SMILES: O=CO. Formate can serve as a product of the metabolism of certain drugs or chemicals, including demethylated compounds and certain one-carbon halogenated compounds."
methanol,"Methanol poisoning can lead to increased blood formate levels, contributing to metabolic acidosis in primates and humans.","Entity: methanol. SMILES: CO. Methanol poisoning can lead to increased blood formate levels, contributing to metabolic acidosis in primates and humans."
formate,Formate can be quantified in body fluids using analytical methods that rely on its reduction to formaldehyde.,Entity: formate. SMILES: O=C[O-]. Formate can be quantified in body fluids using analytical methods that rely on its reduction to formaldehyde.
formaldehyde,Formaldehyde is used as an analytical endpoint in assays for quantifying formate in body fluids.,Entity: formaldehyde. SMILES: C=O. Formaldehyde is used as an analytical endpoint in assays for quantifying formate in body fluids.
dithiothreitol,Dithiothreitol is used as a reducing agent to stabilize enzyme preparations during storage at -80°C.,Entity: dithiothreitol. SMILES: O[C@H](CS)[C@H](O)CS. Dithiothreitol is used as a reducing agent to stabilize enzyme preparations during storage at -80°C.
disodium EDTA,Disodium EDTA is used as a chelating agent to stabilize enzyme preparations during storage at -80°C.,Entity: disodium EDTA. SMILES: O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O.[Na+]. Disodium EDTA is used as a chelating agent to stabilize enzyme preparations during storage at -80°C.
phosphate,Phosphate buffer at 100 mM and pH 6.0 is used as the reaction medium in formate analysis assays.,Entity: phosphate. SMILES: O=P([O-])([O-])[O-]. Phosphate buffer at 100 mM and pH 6.0 is used as the reaction medium in formate analysis assays.
resazurin,Resazurin is used as a redox indicator in formate analysis assays at a concentration of 20 mM.,Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is used as a redox indicator in formate analysis assays at a concentration of 20 mM.
NAD,NAD is used as a substrate in formate analysis assays at a concentration of 1 mM.,Entity: NAD. SMILES: NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1. NAD is used as a substrate in formate analysis assays at a concentration of 1 mM.
resorufin,"Resorufin is a fluorescent product generated from the reduction of resazurin by bacterial formate dehydrogenase in the presence of diaphorase, used as a detection substrate in formate assays.","Entity: resorufin. SMILES: O=c1ccc2nc3ccc(O)cc3oc-2c1. Resorufin is a fluorescent product generated from the reduction of resazurin by bacterial formate dehydrogenase in the presence of diaphorase, used as a detection substrate in formate assays."
methanol,Methanol can be analyzed in small volumes of body fluids using a sensitive and specific assay that also measures formate concentrations.,Entity: methanol. SMILES: CO. Methanol can be analyzed in small volumes of body fluids using a sensitive and specific assay that also measures formate concentrations.
formic acid,Formic acid can be accurately quantified in body fluids using an enzymatic assay based on its reaction with bacterial formate dehydrogenase and diaphorase-catalyzed resazurin reduction.,Entity: formic acid. SMILES: O=CO. Formic acid can be accurately quantified in body fluids using an enzymatic assay based on its reaction with bacterial formate dehydrogenase and diaphorase-catalyzed resazurin reduction.
resazurin,Resazurin is a nonfluorescent dye that is reduced by bacterial formate dehydrogenase coupled to diaphorase to produce the fluorescent product resorufin in an enzymatic assay for formate measurement.,Entity: resazurin. SMILES: O=c1ccc2[n+]([O-])c3ccc(O)cc3oc-2c1. Resazurin is a nonfluorescent dye that is reduced by bacterial formate dehydrogenase coupled to diaphorase to produce the fluorescent product resorufin in an enzymatic assay for formate measurement.
formate,Formate at 0.1 mM does not inhibit the enzymatic activity of formate dehydrogenase (FDH) in the resorufin formation assay.,Entity: formate. SMILES: O=C[O-]. Formate at 0.1 mM does not inhibit the enzymatic activity of formate dehydrogenase (FDH) in the resorufin formation assay.
pyruvate,Pyruvate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.,Entity: pyruvate. SMILES: CC(=O)C(=O)[O-]. Pyruvate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.
oxalate,Oxalate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.,Entity: oxalate. SMILES: O=C([O-])C(=O)[O-]. Oxalate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.
malate,Malate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.,Entity: malate. SMILES: O=C([O-])CC(O)C(=O)[O-]. Malate at 0.1 mM produces about a 10% inhibition of the reaction catalyzed by formate dehydrogenase (FDH) in the resorufin formation assay.
methanol,Methanol blood levels can be determined in arterial blood samples using a modified Baker et al. method.,Entity: methanol. SMILES: CO. Methanol blood levels can be determined in arterial blood samples using a modified Baker et al. method.
formate,Formate can be analyzed in blood samples using a specific analytical method.,Entity: formate. SMILES: O=C[O-]. Formate can be analyzed in blood samples using a specific analytical method.
water,Water (H2O) is used as a diluent in the preparation of blood samples for formate and methanol analysis.,Entity: water. SMILES: O. Water (H2O) is used as a diluent in the preparation of blood samples for formate and methanol analysis.
carbon dioxide,Carbon dioxide (pCO2) is measured in arterial blood samples using a blood gas analyzer.,Entity: carbon dioxide. SMILES: O=C=O. Carbon dioxide (pCO2) is measured in arterial blood samples using a blood gas analyzer.
oxygen,Oxygen (pOz) is measured in arterial blood samples using a blood gas analyzer.,Entity: oxygen. SMILES: [O]. Oxygen (pOz) is measured in arterial blood samples using a blood gas analyzer.
sodium hydroxide,Sodium hydroxide (0.4 N NaOH) is used to adjust pH during the preparation of blood samples for formate and methanol analysis.,Entity: sodium hydroxide. SMILES: [Na+].[OH-]. Sodium hydroxide (0.4 N NaOH) is used to adjust pH during the preparation of blood samples for formate and methanol analysis.
zinc sulfate heptahydrate,Zinc sulfate heptahydrate (7.5% ZnSO4·7H2O) is used as a reagent in the preparation of blood samples for formate analysis.,Entity: zinc sulfate heptahydrate. SMILES: O.O.O.O.O.O.O.O=S(=O)([O-])[O-].[Zn+2]. Zinc sulfate heptahydrate (7.5% ZnSO4·7H2O) is used as a reagent in the preparation of blood samples for formate analysis.
phenanthrene quinone,"Phenanthrene quinone is sensitive but not very specific, as it can also stain peptides containing phenylalanine and sometimes tyrosine, though the fluorescence is typically bluer than for arginine.","Entity: phenanthrene quinone. SMILES: O=C1C=Cc2c(ccc3ccccc23)C1=O. Phenanthrene quinone is sensitive but not very specific, as it can also stain peptides containing phenylalanine and sometimes tyrosine, though the fluorescence is typically bluer than for arginine."
ninhydrin,"Ninhydrin is used as a staining reagent to detect peptides, with plain ninhydrin staining for general peptide detection and cadmium-ninhydrin for specific amino acid identification.","Entity: ninhydrin. SMILES: O=C1c2ccccc2C(=O)C1(O)O. Ninhydrin is used as a staining reagent to detect peptides, with plain ninhydrin staining for general peptide detection and cadmium-ninhydrin for specific amino acid identification."
butanol,Butanol is a component of the butanolacetic acid-water-pyridine (BAWP) solvent system used for chromatographic peptide separation.,Entity: butanol. SMILES: CCCCO. Butanol is a component of the butanolacetic acid-water-pyridine (BAWP) solvent system used for chromatographic peptide separation.
acetone,Acetone is used as a solvent for drying peptide fractions and as a medium for staining with ninhydrin and hydrochloric acid in peptide analysis.,Entity: acetone. SMILES: CC(C)=O. Acetone is used as a solvent for drying peptide fractions and as a medium for staining with ninhydrin and hydrochloric acid in peptide analysis.
nitric acid,Nitric acid is used in combination with 1-nitroso-2-naphthol to detect tyrosine residues in peptide analysis.,Entity: nitric acid. SMILES: O=[N+]([O-])O. Nitric acid is used in combination with 1-nitroso-2-naphthol to detect tyrosine residues in peptide analysis.
1-nitroso-2-naphthol,"1-nitroso-2-naphthol is used as a reagent to detect tyrosine residues in peptide analysis, followed by staining with nitric acid.","Entity: 1-nitroso-2-naphthol. SMILES: O=Nc1c(O)ccc2ccccc12. 1-nitroso-2-naphthol is used as a reagent to detect tyrosine residues in peptide analysis, followed by staining with nitric acid."
pyridine,Pyridine is used as a component of the butanolacetic acid-water-pyridine (BAWP) solvent system for chromatographic peptide separation.,Entity: pyridine. SMILES: c1ccncc1. Pyridine is used as a component of the butanolacetic acid-water-pyridine (BAWP) solvent system for chromatographic peptide separation.
hydrochloric acid,Hydrochloric acid (1% v/v in acetone) is used to bleach peptide chromatograms after staining.,Entity: hydrochloric acid. SMILES: Cl. Hydrochloric acid (1% v/v in acetone) is used to bleach peptide chromatograms after staining.
ammonium bicarbonate,Ammonium bicarbonate is used as a buffer (0.1 M) for peptide fraction collection in chromatographic peptide analysis.,Entity: ammonium bicarbonate. SMILES: O=C([O-])O.[NH4+]. Ammonium bicarbonate is used as a buffer (0.1 M) for peptide fraction collection in chromatographic peptide analysis.
water,Water is a component of the butanolacetic acid-water-pyridine (BAWP) solvent system used for chromatographic peptide separation.,Entity: water. SMILES: O. Water is a component of the butanolacetic acid-water-pyridine (BAWP) solvent system used for chromatographic peptide separation.
phenanthrene quinone,"Phenanthrene quinone is used as a fluorescent reagent to stain peptides containing arginine, revealing them as green fluorescent spots under ultraviolet illumination.","Entity: phenanthrene quinone. SMILES: O=C1C=Cc2c(ccc3ccccc23)C1=O. Phenanthrene quinone is used as a fluorescent reagent to stain peptides containing arginine, revealing them as green fluorescent spots under ultraviolet illumination."
